Draft_Position,Name,TEAM,POS,value,Team,playerid,url,xpath,xpathIP_PA,Status,New_Position
21,Rich Hill,LAD,SP,$18,Ringin' Dingers,4806,http://www.fangraphs.com/statss.aspx?playerid=4806&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__60""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__60""]/td[8]",Starter,
28,Justin Turner,LAD,3B,$26,Ringin' Dingers,5235,http://www.fangraphs.com/statss.aspx?playerid=5235&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[8]",Starter,
31,Blake Snell,TB,SP,$19,Ringin' Dingers,13543,http://www.fangraphs.com/statss.aspx?playerid=13543&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[8]",Starter,
39,DJ LeMahieu,Col,2B,$12,Ringin' Dingers,9874,http://www.fangraphs.com/statss.aspx?playerid=9874&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[4]",Starter,
41,David Robertson,NYY,RP,$7,Ringin' Dingers,8241,http://www.fangraphs.com/statss.aspx?playerid=8241&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__41""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__41""]/td[8]",Starter,
83,Kenley Jansen,LAD,RP,$13,Ringin' Dingers,3096,http://www.fangraphs.com/statss.aspx?playerid=3096&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Starter,
91,Billy Hamilton,Cin,OF,$9,Ringin' Dingers,10199,http://www.fangraphs.com/statss.aspx?playerid=10199&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Starter,
94,Craig Kimbrel,Bos,RP,$4,Ringin' Dingers,6655,http://www.fangraphs.com/statss.aspx?playerid=6655&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[8]",Starter,
226,Greg Holland,FA,RP,$1,Ringin' Dingers,7196,http://www.fangraphs.com/statss.aspx?playerid=7196&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[8]",Starter,
236,Eugenio Suarez,Cin,3B,$1,Ringin' Dingers,12552,http://www.fangraphs.com/statss.aspx?playerid=12552&position=3B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[4]",Starter,
246,Dexter Fowler,StL,OF,$1,Ringin' Dingers,4062,http://www.fangraphs.com/statss.aspx?playerid=4062&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[4]",Starter,
266,Addison Russell,ChC,SS,$1,Ringin' Dingers,14106,http://www.fangraphs.com/statss.aspx?playerid=14106&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[4]",Starter,
284,Michael Taylor,Wsh,OF,$1,Ringin' Dingers,11489,https://www.fangraphs.com/statss.aspx?playerid=11489&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Starter,
291,Starlin Castro,Mia,2B,$1,Ringin' Dingers,4579,http://www.fangraphs.com/statss.aspx?playerid=4579&position=2B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[4]",Bench,
297,Yuli Gurriel,Hou,1B,$1,Ringin' Dingers,19198,https://www.fangraphs.com/statss.aspx?playerid=19198&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[4]",Bench,
