"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Jordan Patterson","Rockies","121","501","451","114","23","4","14","52","52","31","136","13","12","6",".253",".317",".415",".731",".316","1.7","-0.3","-0.2","839.0","15119"
"Jorge Soler","Royals","95","346","307","74","17","1","12","42","43","33","100","2","2","1",".241",".315",".420",".735",".315","-4.5","-0.2","0.1","274.4","14221"
"Nick Markakis","Braves","146","641","570","155","30","1","9","69","60","62","84","4","1","2",".272",".345",".375",".720",".314","-2.2","-1.0","0.5","325.1","5930"
"Ender Inciarte","Braves","141","596","548","157","25","6","6","80","37","38","73","3","21","7",".286",".334",".387",".721",".314","7.7","1.0","2.5","222.4","4922"
"Jay Bruce","Mets","143","583","529","129","28","4","22","72","89","47","133","2","6","3",".244",".305",".437",".742",".313","-4.6","-0.3","0.5","192.5","9892"
"Gerardo Parra","Rockies","131","503","471","131","28","4","10","61","47","23","83","3","9","5",".278",".314",".418",".732",".313","2.0","-0.5","-0.3","394.2","8553"
"Andre Ethier","Dodgers","83","257","230","59","12","3","5","25","30","22","47","3","1","1",".257",".327",".400",".727",".312","-2.1","-0.3","0.2","642.1","6265"
"Brandon Nimmo","Mets","126","526","469","117","18","6","11","66","51","50","124","5","6","6",".249",".328",".384",".711",".311","-3.0","-1.6","1.1","723.5","12927"
"Lonnie Chisenhall","Indians","139","494","452","120","28","3","11","52","63","30","98","4","5","0",".265",".314",".414",".727",".311","2.2","0.8","1.0","496.7","7571"
"Marlon Byrd","","67","265","246","60","13","2","11","27","40","15","77","1","1","0",".244",".287",".447",".734",".309","0.6","0.1","0.4","999.0","950"
"Jarrett Parker","Giants","122","449","397","89","15","3","16","58","51","44","164","7","7","5",".224",".312",".398",".710",".309","4.4","-0.9","1.0","675.4","11624"
"Matt Olson","Athletics","138","572","500","110","33","1","19","70","65","65","157","2","2","0",".220",".310",".404",".714",".308","-1.5","0.1","0.9","811.0","14344"
"Andy Wilkins","Brewers","124","467","426","99","24","1","21","57","66","35","124","1","2","0",".232",".289",".441",".730",".308","-3.3","0.2","-0.1","999.0","11251"
"Steven Moya","Tigers","134","545","520","125","24","3","28","62","76","20","175","2","5","2",".240",".270",".460",".729",".307","-1.3","0.0","0.5","691.3","11854"
"Stefen Romero","Mariners","119","475","446","114","23","3","16","59","63","21","94","4","3","3",".256",".293",".428",".721",".307","-2.1","-0.8","0.5","999.0","11746"
"Chris Denorfia","Cubs","81","235","217","58","10","1","5","28","24","15","45","1","3","1",".267",".316",".392",".708",".306","3.7","0.1","0.0","999.0","4400"
"Avisail Garcia","White Sox","121","475","436","112","17","2","13","62","58","31","118","5","5","4",".257",".312",".394",".706",".306","-6.0","-0.9","-0.2","468.2","5760"
"Chris Heisey","Nationals","96","249","220","49","8","1","10","31","27","23","64","3","2","1",".223",".302",".405",".707",".305","0.7","-0.1","0.2","999.0","3978"
"Gregor Blanco","Diamondbacks","116","346","306","78","14","4","4","43","28","34","60","2","9","4",".255",".331",".366",".697",".303","-4.0","0.0","-0.5","882.3","3123"
"Jake Smolinski","Athletics","124","432","392","97","21","2","10","46","45","29","77","7","5","2",".247",".309",".388",".696",".303","-3.3","0.0","0.9","846.1","5408"
"Carlos Peguero","Red Sox","91","346","317","73","14","1","15","39","42","25","113","2","4","1",".230",".289",".423",".712",".303","-11.5","0.2","-1.0","999.0","8760"
