,Name,TEAM,POS,Team,playerid,url,xpath,xpathIP_PA,Status
322,Stephen Vogt,Oak,C,Big Sexy,5000,http://www.fangraphs.com/statss.aspx?playerid=5000&position=C,//*[@id='SeasonStats1_dgSeason11_ctl00__26']/td[21],//*[@id='SeasonStats1_dgSeason11_ctl00__26']/td[4],Starter
328,Tim Anderson,CWS,SS,Big Sexy,15172,http://www.fangraphs.com/statss.aspx?playerid=15172&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[4]",Starter
334,Trea Turner,Wsh,2B/OF,Big Sexy,16252,http://www.fangraphs.com/statss.aspx?playerid=16252&position=2B/SS/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Starter
346,Wade Davis,ChC,P,Big Sexy,7441,http://www.fangraphs.com/statss.aspx?playerid=7441&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Bench
348,Welington Castillo,Bal,C,Big Sexy,3256,http://www.fangraphs.com/statss.aspx?playerid=3256&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[4]",Starter
356,Yasiel Puig,LAD,OF,Big Sexy,14225,http://www.fangraphs.com/statss.aspx?playerid=14225&position=OF,//*[@id='SeasonStats1_dgSeason11_ctl00__23']/td[21],//*[@id='SeasonStats1_dgSeason11_ctl00__23']/td[4],Starter
361,Zach Britton,Bal,P,Big Sexy,3240,http://www.fangraphs.com/statss.aspx?playerid=3240&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Starter
1,A.J. Pollock,Ari,OF,Billy Heywood,9256,http://www.fangraphs.com/statss.aspx?playerid=9256&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[4]",Starter
2,Aaron Nola,Phi,P,Billy Heywood,16149,http://www.fangraphs.com/statss.aspx?playerid=16149&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[8]",Starter
11,Adrian Beltre,Tex,3B,Billy Heywood,639,http://www.fangraphs.com/statss.aspx?playerid=639&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[4]",Starter
12,Adrian Gonzalez,LAD,1B,Billy Heywood,1908,http://www.fangraphs.com/statss.aspx?playerid=1908&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[4]",Bench
19,Alex Reyes,StL,P,Billy Heywood,15015,http://www.fangraphs.com/statss.aspx?playerid=15015&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__6""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__6""]/td[8]",Bench
22,Andrew McCutchen,Pit,OF,Billy Heywood,9847,http://www.fangraphs.com/statss.aspx?playerid=9847&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter
44,Brian Dozier,Min,2B,Billy Heywood,9810,http://www.fangraphs.com/statss.aspx?playerid=9810&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Starter
45,Brian McCann,Hou,C,Billy Heywood,4810,http://www.fangraphs.com/statss.aspx?playerid=4810&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[4]",Starter
54,Carlos Carrasco,Cle,P,Billy Heywood,6632,http://www.fangraphs.com/statss.aspx?playerid=6632&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Starter
55,Carlos Correa,Hou,SS,Billy Heywood,14162,http://www.fangraphs.com/statss.aspx?playerid=14162&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Starter
69,Charlie Morton,Hou,P,Billy Heywood,4676,http://www.fangraphs.com/statss.aspx?playerid=4676&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[8]",Starter
70,Chris Archer,TB ,P,Billy Heywood,6345,http://www.fangraphs.com/statss.aspx?playerid=6345&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter
82,Curtis Granderson,NYM,OF,Billy Heywood,4747,http://www.fangraphs.com/statss.aspx?playerid=4747&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[4]",Starter
105,Drew Smyly,Sea,P,Billy Heywood,11760,http://www.fangraphs.com/statss.aspx?playerid=11760&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[8]",Bench
169,Jean Segura,Sea,SS,Billy Heywood,5933,http://www.fangraphs.com/statss.aspx?playerid=5933&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[4]",Starter
178,Jimmy Nelson,Mil,P,Billy Heywood,10547,http://www.fangraphs.com/statss.aspx?playerid=10547&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[8]",Starter
202,Jose De Leon,TB ,P,Billy Heywood,15463,http://www.fangraphs.com/statss.aspx?playerid=15463&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[8]",Starter
216,Jung Ho Kang,Pit,3B ,Billy Heywood,17182,http://www.fangraphs.com/statss.aspx?playerid=17182&position=3B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__3""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__3""]/td[4]",Bench
220,Justin Verlander,Det,P,Billy Heywood,8700,http://www.fangraphs.com/statss.aspx?playerid=8700&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[8]",Starter
223,Kendall Graveman,Oak,P,Billy Heywood,15514,http://www.fangraphs.com/statss.aspx?playerid=15514&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[8]",Starter
229,Kevin Pillar,Tor,OF,Billy Heywood,12434,http://www.fangraphs.com/statss.aspx?playerid=12434&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Starter
254,Martin Prado,Mia,3B,Billy Heywood,3312,http://www.fangraphs.com/statss.aspx?playerid=3312&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[4]",Starter
256,Matt Andriese,TB ,P,Billy Heywood,12022,http://www.fangraphs.com/statss.aspx?playerid=12022&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[8]",Starter
262,Matt Shoemaker,LAA,P,Billy Heywood,4776,http://www.fangraphs.com/statss.aspx?playerid=4776&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[8]",Starter
269,Michael Conforto,NYM,OF,Billy Heywood,16376,http://www.fangraphs.com/statss.aspx?playerid=16376&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[4]",Starter
299,Rick Porcello,Bos,P,Billy Heywood,2717,http://www.fangraphs.com/statss.aspx?playerid=2717&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[8]",Starter
310,Salvador Perez,KC ,C,Billy Heywood,7304,http://www.fangraphs.com/statss.aspx?playerid=7304&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Starter
313,Scott Kazmir,LAD,P,Billy Heywood,4897,http://www.fangraphs.com/statss.aspx?playerid=4897&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[8]",Bench
317,Sonny Gray,Oak,P,Billy Heywood,12768,http://www.fangraphs.com/statss.aspx?playerid=12768&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[8]",Starter
323,Steve Pearce,Tor,1B,Billy Heywood,9957,http://www.fangraphs.com/statss.aspx?playerid=9957&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[4]",Starter
4,Adam Duvall,Cin,OF,Bluff Bunters,10950,http://www.fangraphs.com/statss.aspx?playerid=10950&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter
