,Name,TEAM,POS,Team,playerid,url,xpath,xpathIP_PA,Status
94,David Price,Bos,P,Doubles or Nothin,3184,http://www.fangraphs.com/statss.aspx?playerid=3184&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[8]",Starter
126,Francisco Lindor,Cle,SS,Doubles or Nothin,12916,http://www.fangraphs.com/statss.aspx?playerid=12916&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[4]",Starter
133,George Springer,Hou,OF,Doubles or Nothin,12856,http://www.fangraphs.com/statss.aspx?playerid=12856&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[4]",Starter
159,James McCann,Det,C,Doubles or Nothin,12859,http://www.fangraphs.com/statss.aspx?playerid=12859&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter
165,Jason Heyward,ChC,OF,Doubles or Nothin,4940,http://www.fangraphs.com/statss.aspx?playerid=4940&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[4]",Starter
180,Joaquin Benoit,Phi,P,Doubles or Nothin,1437,http://www.fangraphs.com/statss.aspx?playerid=1437&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[8]",Bench
183,Joe Kelly,Bos,P,Doubles or Nothin,9761,http://www.fangraphs.com/statss.aspx?playerid=9761&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter
186,Joey Votto,Cin,1B,Doubles or Nothin,4314,http://www.fangraphs.com/statss.aspx?playerid=4314&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[4]",Starter
217,Junior Guerra,Mil,P,Doubles or Nothin,5702,http://www.fangraphs.com/statss.aspx?playerid=5702&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[8]",Starter
228,Kevin Kiermaier,TB ,OF,Doubles or Nothin,11038,http://www.fangraphs.com/statss.aspx?playerid=11038&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Starter
231,Koda Glover,Wsh,P,Doubles or Nothin,17695,http://www.fangraphs.com/statss.aspx?playerid=17695&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[8]",Bench
241,Lucas Giolito,CWS,P,Doubles or Nothin,15474,http://www.fangraphs.com/statss.aspx?playerid=15474&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__9""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__9""]/td[8]",Starter
243,Luke Gregerson,Hou,P,Doubles or Nothin,4090,http://www.fangraphs.com/statss.aspx?playerid=4090&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[8]",Starter
265,Max Kepler,Min,OF,Doubles or Nothin,12144,http://www.fangraphs.com/statss.aspx?playerid=12144&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[4]",Bench
273,Michael Wacha,StL,P,Doubles or Nothin,14078,http://www.fangraphs.com/statss.aspx?playerid=14078&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[8]",Starter
280,Mike Moustakas,KC ,3B,Doubles or Nothin,4892,http://www.fangraphs.com/statss.aspx?playerid=4892&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[4]",Starter
282,Mike Trout,LAA,OF,Doubles or Nothin,10155,http://www.fangraphs.com/statss.aspx?playerid=10155&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Starter
286,Nate Jones,CWS,P,Doubles or Nothin,4696,http://www.fangraphs.com/statss.aspx?playerid=4696&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter
301,Robert Gsellman,NYM,P,Doubles or Nothin,13696,http://www.fangraphs.com/statss.aspx?playerid=13696&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[8]",Starter
303,Robinson Cano,Sea,2B,Doubles or Nothin,3269,http://www.fangraphs.com/statss.aspx?playerid=3269&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[4]",Starter
315,Shawn Kelley,Wsh,P,Doubles or Nothin,7773,http://www.fangraphs.com/statss.aspx?playerid=7773&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[8]",Starter
333,Travis d'Arnaud,NYM,C,Doubles or Nothin,7739,http://www.fangraphs.com/statss.aspx?playerid=7739&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[4]",Starter
339,Tyler Anderson,Col,P,Doubles or Nothin,12880,http://www.fangraphs.com/statss.aspx?playerid=12880&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[8]",Starter
343,Tyler Thornburg,Bos,P,Doubles or Nothin,10688,http://www.fangraphs.com/statss.aspx?playerid=10688&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[8]",Starter
347,Wei-Yin Chen,Mia,P,Doubles or Nothin,13071,http://www.fangraphs.com/statss.aspx?playerid=13071&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[8]",Starter
352,Wilson Ramos,TB ,C,Doubles or Nothin,1433,http://www.fangraphs.com/statss.aspx?playerid=1433&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Bench
10,Addison Russell,ChC,SS,Rockford Peaches,14106,http://www.fangraphs.com/statss.aspx?playerid=14106&position=2B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[4]",Starter
39,Brandon Finnegan,Cin,P,Rockford Peaches,16208,http://www.fangraphs.com/statss.aspx?playerid=16208&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[8]",Starter
49,Byron Buxton,Min,OF,Rockford Peaches,14161,http://www.fangraphs.com/statss.aspx?playerid=14161&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter
52,Cameron Rupp,Phi,C,Rockford Peaches,11146,http://www.fangraphs.com/statss.aspx?playerid=11146&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
66,Cesar Hernandez,Phi,2B,Rockford Peaches,10556,http://www.fangraphs.com/statss.aspx?playerid=10556&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Bench
74,Christian Yelich,Mia,OF,Rockford Peaches,11477,http://www.fangraphs.com/statss.aspx?playerid=11477&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Starter
77,Cole Hamels,Tex,P,Rockford Peaches,4972,http://www.fangraphs.com/statss.aspx?playerid=4972&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[8]",Starter
141,Hector Neris,Phi,P,Rockford Peaches,11804,http://www.fangraphs.com/statss.aspx?playerid=11804&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[8]",Starter
149,J.A. Happ,Tor,P,Rockford Peaches,7410,http://www.fangraphs.com/statss.aspx?playerid=7410&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__49""]/td[8]",Starter
153,Jacob deGrom,NYM,P,Rockford Peaches,10954,http://www.fangraphs.com/statss.aspx?playerid=10954&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[8]",Starter
162,Jarrod Dyson,Sea,OF,Rockford Peaches,4866,http://www.fangraphs.com/statss.aspx?playerid=4866&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[4]",Starter
173,Jerad Eickhoff,Phi,P,Rockford Peaches,12664,http://www.fangraphs.com/statss.aspx?playerid=12664&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[8]",Starter
191,Jonathan Broxton,StL,P,Rockford Peaches,4759,http://www.fangraphs.com/statss.aspx?playerid=4759&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__43""]/td[8]",Bench
199,Jose Bautista,Tor,OF,Rockford Peaches,1887,http://www.fangraphs.com/statss.aspx?playerid=1887&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__46""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__46""]/td[4]",Starter
214,Julio Teheran,Atl,P,Rockford Peaches,6797,http://www.fangraphs.com/statss.aspx?playerid=6797&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Starter
236,Kyle Schwarber,ChC,OF,Rockford Peaches,16478,http://www.fangraphs.com/statss.aspx?playerid=16478&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Starter
245,Maikel Franco,Phi,3B,Rockford Peaches,12179,http://www.fangraphs.com/statss.aspx?playerid=12179&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
249,Marco Estrada,Tor,P,Rockford Peaches,1118,http://www.fangraphs.com/statss.aspx?playerid=1118&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[8]",Starter
255,Masahiro Tanaka,NYY,P,Rockford Peaches,15764,http://www.fangraphs.com/statss.aspx?playerid=15764&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[8]",Starter
263,Matt Wieters,Wsh,C,Rockford Peaches,4298,http://www.fangraphs.com/statss.aspx?playerid=4298&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Starter
271,Michael Lorenzen,Cin,P,Rockford Peaches,14843,http://www.fangraphs.com/statss.aspx?playerid=14843&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[8]",Bench
274,Miguel Cabrera,Det,1B,Rockford Peaches,1744,http://www.fangraphs.com/statss.aspx?playerid=1744&position=1B/3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[4]",Starter
304,Rougned Odor,Tex,2B,Rockford Peaches,12282,http://www.fangraphs.com/statss.aspx?playerid=12282&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
308,Ryan Madson,Oak,P,Rockford Peaches,1852,http://www.fangraphs.com/statss.aspx?playerid=1852&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[8]",Bench
314,Sean Manaea,Oak,P,Rockford Peaches,15873,http://www.fangraphs.com/statss.aspx?playerid=15873&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__15""]/td[8]",Starter
318,Starlin Castro,NYY,2B,Rockford Peaches,4579,http://www.fangraphs.com/statss.aspx?playerid=4579&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[4]",Bench
324,Steven Matz,NYM,P,Rockford Peaches,13361,http://www.fangraphs.com/statss.aspx?playerid=13361&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__10""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__10""]/td[8]",Starter
329,Todd Frazier,CWS,3B,Rockford Peaches,785,http://www.fangraphs.com/statss.aspx?playerid=785&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Starter
338,Troy Tulowitzki,Tor,SS,Rockford Peaches,3531,http://www.fangraphs.com/statss.aspx?playerid=3531&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__44""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__44""]/td[4]",Starter
360,Yu Darvish,Tex,P,Rockford Peaches,13074,http://www.fangraphs.com/statss.aspx?playerid=13074&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[8]",Starter
26,Anthony Rizzo,ChC,1B,Team Baumgardner,3473,http://www.fangraphs.com/statss.aspx?playerid=3473&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[4]",Starter
48,Buster Posey,SF ,C,Team Baumgardner,9166,http://www.fangraphs.com/statss.aspx?playerid=9166&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter
51,Cam Bedrosian,LAA,P,Team Baumgardner,13360,http://www.fangraphs.com/statss.aspx?playerid=13360&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[8]",Starter
53,Carlos Beltran,Hou,OF,Team Baumgardner,589,http://www.fangraphs.com/statss.aspx?playerid=589&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__58""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__58""]/td[4]",Starter
65,Carter Capps,SD ,P,Team Baumgardner,12803,http://www.fangraphs.com/statss.aspx?playerid=12803&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[8]",Bench
73,Chris Tillman,Bal,P,Team Baumgardner,5279,http://www.fangraphs.com/statss.aspx?playerid=5279&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[8]",Starter
101,Didi Gregorius,NYY,SS,Team Baumgardner,6012,http://www.fangraphs.com/statss.aspx?playerid=6012&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Bench
102,DJ LeMahieu,Col,2B,Team Baumgardner,9874,http://www.fangraphs.com/statss.aspx?playerid=9874&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Starter
118,Ervin Santana,Min,P,Team Baumgardner,3200,http://www.fangraphs.com/statss.aspx?playerid=3200&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__39""]/td[8]",Starter
123,Felix Hernandez,Sea,P,Team Baumgardner,4772,http://www.fangraphs.com/statss.aspx?playerid=4772&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[8]",Starter
138,Greg Holland,Col,P,Team Baumgardner,7196,http://www.fangraphs.com/statss.aspx?playerid=7196&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter
146,Ian Kennedy,KC ,P,Team Baumgardner,6986,http://www.fangraphs.com/statss.aspx?playerid=6986&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[8]",Starter
157,Jake Lamb,Ari,3B,Team Baumgardner,13329,http://www.fangraphs.com/statss.aspx?playerid=13329&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[4]",Starter
158,Jake Odorizzi,TB ,P,Team Baumgardner,6397,http://www.fangraphs.com/statss.aspx?playerid=6397&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter
188,Johnny Cueto,SF ,P,Team Baumgardner,6893,http://www.fangraphs.com/statss.aspx?playerid=6893&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[8]",Starter
196,Jordy Mercer,Pit,SS,Team Baumgardner,6547,http://www.fangraphs.com/statss.aspx?playerid=6547&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[4]",Starter
203,Jose Peraza,Cin,SS,Team Baumgardner,13593,http://www.fangraphs.com/statss.aspx?playerid=13593&position=2B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter
238,Lance Lynn,StL,P,Team Baumgardner,2520,http://www.fangraphs.com/statss.aspx?playerid=2520&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter
248,Marcell Ozuna,Mia,OF,Team Baumgardner,10324,http://www.fangraphs.com/statss.aspx?playerid=10324&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Starter
257,Matt Bush,Tex,P,Team Baumgardner,1246,http://www.fangraphs.com/statss.aspx?playerid=1246&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[8]",Bench
264,Mauricio Cabrera,Atl,P,Team Baumgardner,12975,http://www.fangraphs.com/statss.aspx?playerid=12975&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__8""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__8""]/td[8]",Bench
268,Michael Brantley,Cle,OF,Team Baumgardner,4106,http://www.fangraphs.com/statss.aspx?playerid=4106&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[4]",Starter
276,Mike Fiers,Hou,P,Team Baumgardner,7754,http://www.fangraphs.com/statss.aspx?playerid=7754&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[8]",Starter
279,Mike Montgomery,ChC,P,Team Baumgardner,4869,http://www.fangraphs.com/statss.aspx?playerid=4869&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter
285,Mookie Betts,Bos,OF,Team Baumgardner,13611,http://www.fangraphs.com/statss.aspx?playerid=13611&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
296,Rajai Davis,Oak,OF,Team Baumgardner,3708,http://www.fangraphs.com/statss.aspx?playerid=3708&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[4]",Bench
309,Ryon Healy,Oak,3B,Team Baumgardner,15447,http://www.fangraphs.com/statss.aspx?playerid=15447&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[4]",Starter
321,Stephen Strasburg,Wsh,P,Team Baumgardner,10131,http://www.fangraphs.com/statss.aspx?playerid=10131&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter
330,Tom Murphy,Col,C,Team Baumgardner,13499,http://www.fangraphs.com/statss.aspx?playerid=13499&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__9""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__9""]/td[4]",Starter
353,Xander Bogaerts,Bos,SS,Team Baumgardner,12161,http://www.fangraphs.com/statss.aspx?playerid=12161&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[4]",Starter
3,Aaron Sanchez,Tor,P,Team Boyles,11490,http://www.fangraphs.com/statss.aspx?playerid=11490&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter
6,Adam Jones,Bal,OF,Team Boyles,6368,http://www.fangraphs.com/statss.aspx?playerid=6368&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[4]",Starter
13,Albert Pujols,LAA,1B,Team Boyles,1177,http://www.fangraphs.com/statss.aspx?playerid=1177&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__45""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__45""]/td[4]",Bench
14,Aledmys Diaz,StL,SS,Team Boyles,15937,http://www.fangraphs.com/statss.aspx?playerid=15937&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__12""]/td[4]",Starter
17,Alex Colome,TB ,P,Team Boyles,6661,http://www.fangraphs.com/statss.aspx?playerid=6661&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Bench
64,Carlos Santana,Cle,1B,Team Boyles,2396,http://www.fangraphs.com/statss.aspx?playerid=2396&position=C/1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter
76,Cody Allen,Cle,P,Team Boyles,12183,http://www.fangraphs.com/statss.aspx?playerid=12183&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Bench
81,Craig Kimbrel,Bos,P,Team Boyles,6655,http://www.fangraphs.com/statss.aspx?playerid=6655&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[8]",Starter
95,David Robertson,CWS,P,Team Boyles,8241,http://www.fangraphs.com/statss.aspx?playerid=8241&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Bench
96,Dee Gordon,Mia,2B,Team Boyles,8203,http://www.fangraphs.com/statss.aspx?playerid=8203&position=2B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Starter
106,Dustin Pedroia,Bos,2B,Team Boyles,8370,http://www.fangraphs.com/statss.aspx?playerid=8370&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[4]",Starter
111,Edwin Diaz,Sea,P,Team Boyles,14710,http://www.fangraphs.com/statss.aspx?playerid=14710&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__13""]/td[8]",Starter
120,Evan Gattis,Hou,C,Team Boyles,11003,http://www.fangraphs.com/statss.aspx?playerid=11003&position=C/DH,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[4]",Starter
121,Evan Longoria,TB ,3B,Team Boyles,9368,http://www.fangraphs.com/statss.aspx?playerid=9368&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[4]",Starter
140,Hanley Ramirez,Bos,1B,Team Boyles,8001,http://www.fangraphs.com/statss.aspx?playerid=8001&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[4]",Starter
207,Jose Ramirez,Cle,3B/SS,Team Boyles,13510,http://www.fangraphs.com/statss.aspx?playerid=13510&position=3B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__20""]/td[4]",Starter
